id;type;nom;rarete;cout;description;effetJeu;precision;evolutif;rulebook
rhumatismes;Désavantage;Rhumatismes;Ancien;2;Le personnage souffre de douleurs articulaires et osseuses qui sont déclenchées par l'humidité (marais, caves, pluie, brise matinale, etc.). À ces moments, toutes ses actions dépendant des Attributs Physique et Manuel subissent un malus de -2.;Dans l'humidité — marais, caves, pluie, brise matinale — malus de -2 sur toutes les actions dépendant des attributs Physique et Manuel.;;;livre-de-regles-2e-edition
senile;Désavantage;Sénile;Ancien;4;Le personnage perd la tête. Il mélange ou oublie parfois des pans entiers de son passé ou de son savoir. Toutes ses actions impliquant la mémoire subissent un malus de -3.;Malus de -3 sur toutes les actions impliquant la mémoire.;;;livre-de-regles-2e-edition
surdite;Désavantage;Surdité;Ancien;3;Le vieillard a de graves problèmes auditifs. Il est partiellement sourd et la Difficulté de tous ses jets de Perception auditive est augmentée de 5. Il ne peut guère entendre que ce qu'on lui crie.;Difficulté augmentée de 5 sur tous les jets de Perception auditive. Le personnage n'entend guère que ce qu'on lui crie.;;;livre-de-regles-2e-edition
vue-defaillante;Désavantage;Vue défaillante;Ancien;2;Le vieillard souffre de graves troubles oculaires, dus à son âge et à son état de santé général. La Difficulté de tous ses jets de Perception visuelle est augmentée de 5 et sa vue défaillante rendra pénible la lecture et l'observation prolongées.;Difficulté augmentée de 5 sur tous les jets de Perception visuelle. La lecture et l'observation prolongée sont pénibles.;;;livre-de-regles-2e-edition
agilite;Avantage;Agilité;Général;3;Le personnage est particulièrement agile et bénéficie d'un bonus de 2 à toutes ses actions de mouvement (escalader, se déplacer silencieusement, grimper à une corde, etc.).;Bonus de 2 à toutes les actions de mouvement.;;;livre-de-regles-2e-edition
allie;Avantage;Allié;Général;3/5;L'allié est un individu ou un groupe d'individus qui fera de son mieux pour aider le personnage en cas de besoin. Cette relation est fondée sur le respect et la sympathie, voire l'amitié, et n'obligera donc pas les alliés à se sacrifier ou à accepter des aides qui les exposeraient à de graves dangers. Pour 3 points, il s'agit généralement d'un allié unique, de puissance et de réputation équivalentes à celles du personnage. Pour 5 points, il peut s'agir d'un groupe d'alliés (comme une faction mineure, une guilde, une école de magie, etc.) ou d'un allié beaucoup plus puissant et connu que le personnage (un combattant renommé, un responsable de la milice, un mage respecté, etc.). Le choix de l'allié reste soumis à l'approbation du meneur de jeu. Cet Avantage peut être choisi plusieurs fois.;3 points : un allié unique, de puissance et de réputation équivalentes à celles du personnage. 5 points : un groupe d'alliés — faction mineure, guilde, école de magie — ou un allié bien plus puissant et connu que le personnage. L'allié aide au mieux mais ne se sacrifie pas et n'accepte pas ce qui l'exposerait à de graves dangers. Soumis à l'approbation du meneur de jeu, et peut être pris plusieurs fois.;Nature de l'allié;oui;livre-de-regles-2e-edition
ambidextre;Avantage;Ambidextre;Général;3;Cet Avantage permet au personnage d'utiliser ses deux mains indifféremment. Le fait d'être ambidextre ne permet en aucun cas d'effectuer deux attaques pour un dé d'action. Lors d'un combat à deux armes, il permettra de réduire le malus lié à la mauvaise main.;Le personnage utilise ses deux mains indifféremment : en combat à deux armes, le malus de mauvaise main est réduit. Ne donne en aucun cas deux attaques pour un seul dé d'action.;;;livre-de-regles-2e-edition
arme-du-maitre;Avantage;Arme du maître;Général;2;De nombreux instructeurs remettent à leurs élèves une épée, une masse, qui leur servira d'arme de prédilection. Cette arme est unique aux yeux du personnage, qui la considère comme une relique. Tant que le personnage utilise cette arme, il gagne un bonus de 1 à tous ses jets d'attaque et de parade. S'il vient à la perdre ou bien si l'arme est brisée, il perd définitivement ce bonus.;Bonus de 1 à tous les jets d'attaque et de parade tant que le personnage se bat avec cette arme précise. Arme perdue ou brisée, le bonus est perdu définitivement.;Arme de prédilection;oui;livre-de-regles-2e-edition
augure-favorable;Avantage;Augure favorable;Général;3;L'Augure de naissance du personnage est particulièrement marqué et lui confère des aptitudes innées ainsi que des cercles supplémentaires dans certaines Tendances. En plus d'attribuer des bonus, il va sans dire que cet Augure favorable influence plus profondément encore le caractère et les motivations du personnage. Tous ces bonus s'appliquent après avoir déterminé son profil de base mais avant la dépense des Points de Compétence.;Cercles de Tendance et bonus de Compétence selon l'Augure de naissance, appliqués après le profil de base et avant la dépense des Points de Compétence. Le fataliste : Fatalité +5, et +1 à une Compétence d'Influence et +1 à une Compétence de Communication. Le volcan : Dragon +4 et Fatalité +1, et +1 à deux Compétences de Combat. Le métal : Dragon +3 et Homme +2, et +1 à une Compétence de Combat et +1 à une Compétence de Technique. La cité : Dragon +1 et Homme +4, et +1 à deux Compétences de Communication. Le vent : Dragon +4 et Homme +1, et +1 à deux Compétences de Mouvement. L'océan : Dragon +5, et +1 à une Compétence de Théorie et +1 à une Compétence de Pratique. La chimère : Dragon +3, Homme +1 et Fatalité +1, et +1 à une Sphère et +1 en Magie instinctive. La nature : Dragon +4 et Fatalité +1, et +1 à une Compétence de Mouvement et +1 à une Compétence de Pratique. La pierre : Dragon +5, et +1 à une Compétence de Combat et +1 à une Compétence d'Influence. L'homme : Homme +5, et +1 à une Compétence de Communication et +1 à une Compétence au choix, sauf Sphères et Disciplines.;Augure;;livre-de-regles-2e-edition
chance;Avantage;Chance;Général;2;Cet Avantage permet au personnage de récupérer un Point de Chance supplémentaire à chaque action ratée (soit 2 pour un échec normal et 3 pour un échec critique).;Un Point de Chance supplémentaire à chaque action ratée : 2 sur un échec normal, 3 sur un échec critique.;;;livre-de-regles-2e-edition
charme;Avantage;Charme;Général;1;Le personnage dispose d'un charme naturel qui augmente ses facultés de séduction, de dialogue et de communication. Tous ses jets basés sur le relationnel (Baratin ou Psychologie) bénéficient d'un bonus de 2 et ceux de Séduction d'un bonus de 5.;Bonus de 2 sur les jets relationnels (Baratin, Psychologie) et de 5 sur les jets de Séduction.;;;livre-de-regles-2e-edition
confidences;Avantage;Confidences;Général;3;Le personnage a la faculté d'inspirer la confiance et de provoquer le dialogue. Cet Avantage donne un bonus de 5 à tous les jets de Communication portant sur des informations que son interlocuteur tient à garder secrètes. Attention : cet Avantage ne permet pas d'obtenir spontanément des informations vitales (position de l'armée ennemie, son appartenance à une secte humaniste ou fataliste, révéler un secret draconique, etc.). Au sein du groupe, les compagnons du personnage auront de plus tendance à se confier à lui et à lui demander conseil en cas de problème.;Bonus de 5 sur les jets de Communication portant sur ce que l'interlocuteur tient à garder secret. Ne donne jamais spontanément une information vitale.;;;livre-de-regles-2e-edition
corps-aguerri;Avantage;Corps aguerri;Général;3;Cet Avantage permet au personnage de résister à la douleur et à la fatigue découlant de ses blessures. En réussissant un jet de Mental + Volonté contre une Difficulté de 15, il peut réduire de (1 + NR) points les malus liés aux Seuils de blessure, et cela pour toute la durée du combat, après quoi ils s'appliquent de nouveau normalement. Ce jet ne s'effectue qu'une fois par combat.;Un jet de Mental + Volonté contre une Difficulté de 15, une seule fois par combat, réduit de (1 + NR) points les malus liés aux Seuils de blessure pour toute la durée du combat.;;oui;livre-de-regles-2e-edition
droiture;Avantage;Droiture;Général;1;L'honneur et le respect sont des valeurs fondamentales aux yeux du personnage. Ses certitudes sont telles que ses interlocuteurs peuvent sentir sa droiture. La Présence du personnage est augmentée de 2 lors de tous les jets basés sur l'honneur, le courage et le moral.;Présence augmentée de 2 sur tous les jets basés sur l'honneur, le courage et le moral.;;oui;livre-de-regles-2e-edition
fortune-personnelle;Avantage;Fortune personnelle;Général;1-10;Cet Avantage confère au personnage une somme de 1 000 dracs de fer par point dépensé.;1 000 dracs de fer par point dépensé.;;;livre-de-regles-2e-edition
heritage-draconique;Avantage;Héritage draconique;Général;6;Le personnage se voit octroyer une Faveur provenant du Lien draconique d'un de ses parents. Le personnage est donc capable d'utiliser cette Faveur sans pour autant avoir de Lien. Le dragon l'ayant choisi ne s'est pas manifesté depuis son plus jeune âge. Le dragon peut ressurgir n'importe quand pour vérifier que le personnage reste fidèle à ses convictions familiales et donc à la mentalité appréciée par l'ailé. Le personnage ne connaît pas le dragon et peut décider de briser les traditions en ayant combattu ses capacités « innées », à ses risques et périls lorsque le dragon ressurgira. Il va sans dire que tout Prélude entré au cours de sa vie restera figé, le nouveau dragon refusant le Lien à un personnage car il ressent l'influence d'un de ses pairs. Lors du retour du dragon, le personnage peut être remis à l'épreuve et avoir à assujettir son comportement à la mentalité du dragon sous peine de se voir ôter cet héritage. Cet Avantage ne peut être choisi qu'une fois et doit impérativement être tiré sur le tableau ci-dessous.;Le personnage utilise une Faveur du Lien draconique d'un de ses parents, sans avoir de Lien lui-même. Tout Prélude entré au cours de sa vie reste figé : un nouveau dragon refuse le Lien à qui porte l'influence d'un de ses pairs. Le dragon peut ressurgir à tout moment, remettre le personnage à l'épreuve et lui ôter cet héritage. Ne peut être pris qu'une fois. La Faveur est tirée au D10 : 1 La marque de l'ombre (Kalimsshar), 2 L'œil incandescent (Kroryn), 3 La main du maître (Kezyr), 4 L'esprit des cités (Khy), 5 L'élan des brises (Szyl), 6 Le secret du verbe (Ozyr), 7 Le monde éthéré (Nenya), 8 Le sang et la sève (Heyra), 9 La peau de pierre (Brorne), 10 relancer sur cette table.;Faveur héritée;;livre-de-regles-2e-edition
magie-naturelle;Avantage;Magie naturelle;Général;4;Cet Avantage confère au personnage une base de 2 dans une Sphère de magie et un sort de niveau 1 gratuit de cette Sphère. Les limitations liées aux Sphères doivent être respectées. Cet Avantage ne peut être choisi qu'une seule fois.;Une base de 2 dans une Sphère de magie et un sortilège de niveau 1 gratuit de cette Sphère, dans le respect des limitations de Sphère. Ne peut être pris qu'une fois.;Sphère choisie;;livre-de-regles-2e-edition
mentor;Avantage;Mentor;Général;4;Le mentor est l'instructeur qui a le plus compté dans l'apprentissage du personnage. C'est lui qui a forgé son savoir-faire et qui a orienté la plupart de ses choix. En choisissant cet Avantage, le joueur gagne un total de 2 points qu'il peut attribuer à une ou plusieurs Compétences dans son profil de caste. Cet Avantage est le seul qui permette de dépasser les limitations dues à l'âge du personnage — mais il est toujours impossible de dépasser 10 à la création. Cet Avantage ne peut être choisi qu'une seule fois.;2 points à répartir entre une ou plusieurs Compétences du profil de caste. Le seul Avantage qui permette de dépasser les limitations dues à l'âge, sans jamais dépasser 10 à la création. Ne peut être pris qu'une fois.;Mentor;;livre-de-regles-2e-edition
prestance;Avantage;Prestance;Général;2;Le prestige du personnage et l'expérience qu'il a acquis donnent à sa parole un poids évident lors des discussions. Chaque fois qu'il tentera une action sociale liée à son charisme, telle que faire aboutir une discussion, exposer un point de vue ou orienter une prise de décision, son Attribut Social sera augmenté de 2.;Attribut Social augmenté de 2 sur toute action sociale liée au charisme : faire aboutir une discussion, exposer un point de vue, orienter une décision.;;oui;livre-de-regles-2e-edition
pressentiment;Avantage;Pressentiment;Général;3;Le personnage possède une sorte de sixième sens qui lui permet de déterminer certains éléments de son avenir proche. Par exemple, s'il se rapproche d'une grotte, il pourra deviner si ce lieu est habité, si l'occupant sera éventuellement agressif, si un piège est à soupçonner, etc. Les utilisations de cet Avantage sont limitées à trois fois par jour. À chaque utilisation, le joueur doit effectuer un jet de Mental + Empathie contre une Difficulté de 15. Si le jet est réussi, le personnage obtient (1 + NR) informations. Par exemple, dans le cas de la grotte : « Elle est habitée (jet réussi), ses occupants sont nombreux (premier NR) et ils semblent instinctivement dangereux (deuxième NR) ».;Trois fois par jour, un jet de Mental + Empathie contre une Difficulté de 15 donne (1 + NR) informations sur l'avenir proche.;;;livre-de-regles-2e-edition
resistance-a-la-magie;Avantage;Résistance à la magie;Général;5;Certains humains possèdent une résistance à la magie qui les protège de nombreux effets. Lorsqu'il choisit cet Avantage, le joueur doit décider entre les deux facultés suivantes. Soit il obtient une protection efficace contre tous les sortilèges d'une Sphère précise, auquel cas son jet de résistance bénéficiera d'un bonus de 8, soit une protection moindre mais contre toutes les Sphères, auquel cas le bonus est de 5. Cette résistance n'influe pas sur les capacités surnaturelles du personnage (Techniques, bénéfices, Faveurs, Privilèges) ou le lancement de ses propres sortilèges. En revanche, cette résistance s'applique à tous les effets de sorts (et uniquement des sorts) lui étant jetés, qu'ils soient bénéfiques ou néfastes. Cet Avantage ne peut être sélectionné qu'une seule fois.;Au choix : bonus de 8 aux jets de résistance contre les sortilèges d'une Sphère précise, ou bonus de 5 contre toutes les Sphères. S'applique à tout effet de sort subi, bénéfique comme néfaste, mais pas aux capacités surnaturelles du personnage ni à ses propres incantations. Ne peut être pris qu'une fois.;Sphère protégée, ou toutes;oui;livre-de-regles-2e-edition
sante-de-fer;Avantage;Santé de fer;Général;4;Cet Avantage confère au personnage une capacité de résistance aux maladies et aux agressions extérieures. Tous ses jets de résistance pour lutter contre les maladies, les poisons ou toutes autres substances nocives bénéficient d'un bonus de 5. De plus, l'organisme du personnage lui permet de mieux bénéficier des soins. Il est toujours considéré comme ayant atteint un Seuil de blessure inférieur à celui où il se trouve actuellement pour déterminer la Difficulté du jet de soins. Par exemple, si le personnage est en blessure fatale, les soins et les tentatives pour stopper d'éventuelles hémorragies seront effectués comme s'il n'avait atteint que le Seuil de blessures graves. Cet Avantage n'annule pas les malus liés aux Seuils de blessure.;Bonus de 5 sur tous les jets de résistance aux maladies, poisons et autres substances nocives. Pour la Difficulté d'un jet de soins, le personnage compte comme étant au Seuil de blessure inférieur à celui qu'il occupe. N'annule pas les malus liés aux Seuils de blessure.;;;livre-de-regles-2e-edition
sens-accru;Avantage;Sens accru;Général;2;L'un des sens du personnage est particulièrement développé. Tous ses jets de perception utilisant ce sens gagnent un bonus de 5. Cet Avantage peut être choisi plusieurs fois, mais à chaque fois pour un sens différent (vue, ouïe, odorat, goût, toucher).;Bonus de 5 sur tous les jets de perception utilisant le sens choisi. Peut être pris plusieurs fois, pour un sens différent à chaque fois.;Sens développé;oui;livre-de-regles-2e-edition
sens-de-l-orientation;Avantage;Sens de l'orientation;Général;1;Grâce à cet Avantage, le personnage peut toujours se repérer. Il sait avec certitude si certains endroits se trouvent devant, derrière, à gauche ou à droite, vers le nord, le sud, etc. Ceci se traduit par un bonus de 3 à ses jets d'Orientation (en milieu naturel) et de Vie en cité (dans une ville).;Bonus de 3 aux jets d'Orientation en milieu naturel et de Vie en cité en ville.;;;livre-de-regles-2e-edition
sens-en-alerte;Avantage;Sens en alerte;Général;3;Cet Avantage permet au personnage d'être toujours en alerte et, lors des combats, de garder une vue d'ensemble des événements, de façon à pouvoir intervenir au meilleur moment. Au premier tour de chaque combat, le joueur lance un dé supplémentaire pour déterminer le rang d'Initiative des actions de son personnage. Il choisit ensuite les meilleurs résultats, en conservant un nombre de dés égal à son nombre d'actions.;Au premier tour de chaque combat, un dé d'Initiative supplémentaire : le joueur garde les meilleurs résultats, à hauteur de son nombre d'actions.;;;livre-de-regles-2e-edition
statut-social;Avantage;Statut social;Général;2;Le personnage est connu à l'intérieur de sa caste, quel que soit son Statut. Cet Avantage augmente sa Renommée de 2 points pour toutes les actions liées à l'influence intérieure (obtenir des informations, négocier un marché, faire aboutir une demande, demander de l'aide, etc.).;Renommée augmentée de 2 pour toutes les actions d'influence à l'intérieur de sa caste, quel que soit son Statut.;;;livre-de-regles-2e-edition
chance-inouie;Avantage;Chance inouïe;Enfant;3;La Chance inouïe permet à l'enfant de défier les lois de la probabilité et de réussir miraculeusement les actions qu'il était sur le point de rater. Que son jet soit raté ou réussi, le joueur peut dépenser des Points de Chance pour obtenir des NR (c'est l'exception qui confirme la règle de dépense des Points de Chance).;Le joueur peut dépenser des Points de Chance pour obtenir des NR, que le jet soit réussi ou raté — la seule exception à la règle de dépense des Points de Chance.;;oui;livre-de-regles-2e-edition
empathie-naturelle;Avantage;Empathie naturelle;Enfant;4;Cet Avantage permet au personnage de « sentir » son environnement comme s'il pouvait établir un contact empathique avec les éléments qui l'entourent. Cette faculté lui permet de ressentir des impressions, des émotions, des peurs. Cet Avantage s'utilise avec un jet de Mental + Empathie contre une Difficulté variable, en fonction de l'action entreprise. Pour ressentir des émotions sur des animaux et des créatures dénuées d'intelligence, la Difficulté est de 10. Sur des êtres intelligents, la Difficulté passe à 15. Le meneur de jeu se réserve le droit de faire effectuer à la cible un jet de Mental + Volonté contre une Difficulté de 15, s'il estime que cette dernière cherche à masquer ses émotions. Ce jet est alors un jet d'opposition.;Jet de Mental + Empathie pour ressentir impressions, émotions et peurs : Difficulté 10 sur un animal ou une créature dénuée d'intelligence, 15 sur un être intelligent. Une cible qui masque ses émotions peut s'y opposer par un jet de Mental + Volonté contre une Difficulté de 15.;;oui;livre-de-regles-2e-edition
fetiche;Avantage;Fétiche;Enfant;2;Les enfants aiment croire que certains objets qui leur sont chers possèdent des pouvoirs magiques, ainsi qu'une personnalité propre. Tant qu'il porte cet objet sur lui, le personnage voit son Attribut Chance augmenter de 1. Si l'objet est perdu, volé ou détruit, le personnage sombre immédiatement dans une période de morosité qui durera une vingtaine de jours, et durant laquelle le personnage ne pourra plus regagner qu'un seul Point de Chance à chaque action ratée, quel que soit le type d'échec. Il sera également très irritable et aura nettement moins confiance en lui. L'Avantage est définitivement perdu dès la disparition du fétiche, et il est impossible de le remplacer.;Chance augmentée de 1 tant que le fétiche est porté. Objet perdu, volé ou détruit : une vingtaine de jours de morosité pendant lesquels un seul Point de Chance est regagné par action ratée, quel que soit le type d'échec — et l'Avantage est perdu définitivement, sans remplacement possible.;Fétiche;oui;livre-de-regles-2e-edition
instinct-protecteur;Avantage;Instinct protecteur;Enfant;2;L'enfant provoque au sein du groupe un instinct de protection. Lorsqu'il est en danger (combat, chute imminente, noyade, etc.), l'un de ses compagnons se porte immanquablement à son secours. Pour ce faire, le sauveur bénéficie d'un bonus de 3 à UNE action destinée à le tirer d'affaire (parer une attaque fatale, rattraper la corde qui glisse, plonger à son secours, etc.), une fois par jour. Le joueur est en droit de réclamer l'assistance d'un des personnages si la situation l'exige. Le meneur de jeu pourra, en dernier recours, désigner un personnage qui n'aurait pas réagi spontanément.;Une fois par jour, un compagnon qui se porte au secours de l'enfant gagne un bonus de 3 à UNE action destinée à le tirer d'affaire. Le joueur peut réclamer cette assistance, et le meneur de jeu désigner un sauveur en dernier recours.;;oui;livre-de-regles-2e-edition
precoce;Avantage;Précoce;Enfant;2;L'enfant est en avance sur les autres enfants de son âge. Sa maturité lui vaut l'intérêt des adultes et une certaine distance de la part de ses camarades. Le personnage peut développer une Compétence jusqu'à un niveau de 5 (soit autant qu'un adulte) à la création. Cet écart, perceptible lors de l'enfance, se perdra dans la masse à l'âge adulte.;À la création, une Compétence peut être développée jusqu'à 5, autant qu'un adulte. L'écart se perd à l'âge adulte.;Compétence développée;oui;livre-de-regles-2e-edition
art-interdit;Avantage;Art interdit;Ancien;3;Cet Avantage permet aux anciens et aux vénérables de développer dès la création l'une des quatre Compétences suivantes : Armes mécaniques, Chirurgie, Explosifs ou Mécanismes. Au cours de sa vie, il aura rencontré un maître capable de lui enseigner les rudiments de l'une de ces Compétences qu'il pourra développer jusqu'à un niveau maximum de 5 + Tendance Homme. Cet Avantage autorise uniquement la dépense de points à la création dans une de ces Compétences. Cet Avantage n'autorise aucunement le personnage à pratiquer cet art. À sa charge d'obtenir les rares autorisations délivrées par certaines castes. Cet Avantage peut être choisi plusieurs fois et doit être acheté pour chaque Compétence désirée.;Autorise, à la création seulement, la dépense de points dans l'une de ces quatre Compétences — Armes mécaniques, Chirurgie, Explosifs, Mécanismes — jusqu'à un maximum de 5 + Tendance Homme. N'autorise en rien à pratiquer l'art : les rares autorisations restent à obtenir auprès des castes. À acheter pour chaque Compétence désirée.;Compétence interdite;oui;livre-de-regles-2e-edition
conviction;Avantage;Conviction;Ancien;2;Cet Avantage permet au personnage de rester de marbre face à des attaques, des tentatives d'intimidation et des situations où ses principes seraient mis en cause. Cet Avantage confère un bonus de 5 à tous les jets de Social et de Volonté basés sur l'intimidation, le chantage ou le harcèlement psychologique.;Bonus de 5 à tous les jets de Social et de Volonté face à l'intimidation, au chantage ou au harcèlement psychologique.;;oui;livre-de-regles-2e-edition
culture;Avantage;Culture;Ancien;3;Cet Avantage procure au personnage une connaissance restreinte de tous les sujets théoriques auxquels il peut être confronté. Il permet d'obtenir un bonus de 1 à tous les jets de Mental + Compétence de Théorie.;Bonus de 1 à tous les jets de Mental + Compétence de Théorie.;;oui;livre-de-regles-2e-edition
habilete-reconnue;Avantage;Habileté reconnue;Ancien;5;L'apprentissage et l'expérience ont permis au personnage de se forger la maîtrise parfaite d'une certaine catégorie de Compétences. Lorsqu'il choisit cet Avantage, le joueur doit désigner l'un des huit groupes de Compétences (Combat, Manipulation, Théorie, etc.). Pour tous les jets qu'il effectuera avec une Compétence de ce groupe ET l'Attribut Majeur correspondant, il gagnera un bonus de 1 sur son jet. Par exemple : donner un coup d'épée (Physique + Combat), négocier le prix d'un objet (Social + Communication), etc. Ce bonus ne s'applique pas si le jet met en cause un Attribut différent de celui de la catégorie de Compétence (Mental + Combat ou Manuel + Combat, par exemple). Cette Habileté reconnue peut s'appliquer aux Disciplines de magie, auquel cas chacune se voit gratifiée d'un bonus de 1 au jet. Cet Avantage ne peut être choisi qu'une seule fois.;Bonus de 1 sur tous les jets combinant une Compétence du groupe choisi ET son Attribut majeur. Rien si le jet passe par un autre Attribut que celui de la catégorie. Peut porter sur les Disciplines de magie, chacune gagnant alors 1 au jet. Ne peut être pris qu'une fois.;Groupe de compétences;oui;livre-de-regles-2e-edition
objet-de-predilection;Avantage;Objet de prédilection;Ancien;3;Le personnage possède un objet de prédilection (il ne peut pas s'agir d'une arme). Le personnage gagne un bonus de 2 à chaque fois qu'il utilise cet objet. Si l'objet est perdu, volé ou détruit, le personnage perd définitivement cet Avantage. Cet Avantage ne peut être choisi qu'une seule fois.;Bonus de 2 à chaque utilisation de l'objet, qui ne peut pas être une arme. Objet perdu, volé ou détruit : l'Avantage est perdu définitivement. Ne peut être pris qu'une fois.;Objet de prédilection;oui;livre-de-regles-2e-edition
technique-personnelle;Avantage;Technique personnelle;Ancien;5;Grâce à cet Avantage, le personnage a développé une technique totalement inédite. Cette technique est applicable au combat, à l'artisanat, à la magie, à la diplomatie, etc. Le personnage peut décider d'utiliser différemment ses Points de Maîtrise. En annonçant AVANT son jet cette dépense, il peut dépenser 3 points pour obtenir un NR automatique qu'il pourra faire valoir si son jet est, bien sûr, réussi. Le personnage peut toujours utiliser ses Points de Maîtrise non utilisés par ce biais de façon conventionnelle. Par exemple, Yhunn, légendaire Maître de tous les combattants, utilise sa technique personnelle. Son Attribut Physique est de 9, sa Compétence d'Armes tranchantes est de 15 et il a 10 Points de Maîtrise. Son score de base est de 9 + 15, soit 24. La Difficulté est de 15 mais il veut impressionner son adversaire. Il dépense donc 1 Point de Maîtrise pour arriver à 25 et en dépense 9 autres pour obtenir trois NR automatiques. Il obtient un 6 sur son jet de dé. Son score final est de 31. Il obtient ainsi trois NR grâce au jet de dé, auxquels il ajoute les trois NR automatiques. Il arrive à un impressionnant résultat final de six NR. Cet Avantage ne peut être sélectionné qu'une fois.;Annoncée AVANT le jet, une dépense de 3 Points de Maîtrise donne un NR automatique, acquis si le jet est réussi. Les Points de Maîtrise non dépensés ainsi restent utilisables normalement. Ne peut être pris qu'une fois.;Technique développée;oui;livre-de-regles-2e-edition
